LapNumber,LapTime,Compound
1.0,105.537,MEDIUM
2.0,103.009,MEDIUM
3.0,102.7,MEDIUM
4.0,102.623,MEDIUM
5.0,102.151,MEDIUM
6.0,102.857,MEDIUM
7.0,102.817,MEDIUM
8.0,102.598,MEDIUM
9.0,102.969,MEDIUM
10.0,102.741,MEDIUM
11.0,103.147,MEDIUM
12.0,102.515,MEDIUM
13.0,102.569,MEDIUM
14.0,102.334,MEDIUM
15.0,102.654,MEDIUM
16.0,102.571,MEDIUM
17.0,120.701,MEDIUM
18.0,100.989,MEDIUM
19.0,100.809,MEDIUM
20.0,100.883,MEDIUM
21.0,100.98,MEDIUM
22.0,101.129,MEDIUM
23.0,100.921,MEDIUM
24.0,101.203,MEDIUM
25.0,101.268,MEDIUM
26.0,101.857,MEDIUM
27.0,101.795,MEDIUM
28.0,101.574,MEDIUM
29.0,101.592,MEDIUM
30.0,101.658,MEDIUM
31.0,101.337,MEDIUM
32.0,101.576,MEDIUM
33.0,101.507,MEDIUM
34.0,101.581,MEDIUM
35.0,101.777,MEDIUM
36.0,122.166,HARD
37.0,100.763,HARD
38.0,100.439,HARD
39.0,100.124,HARD
40.0,100.028,HARD
41.0,100.449,HARD
42.0,100.349,HARD
43.0,100.212,HARD
44.0,100.77,HARD
45.0,100.245,HARD
46.0,100.588,HARD
47.0,100.31,HARD
48.0,100.329,HARD
49.0,100.418,HARD
50.0,100.209,HARD
51.0,100.099,HARD
52.0,100.335,HARD
53.0,100.636,HARD
54.0,100.629,HARD
55.0,100.998,HARD
56.0,100.337,HARD
1.0,101.712,MEDIUM
2.0,101.982,MEDIUM
3.0,102.28,MEDIUM
4.0,102.331,MEDIUM
5.0,102.244,MEDIUM
6.0,102.802,MEDIUM
7.0,102.742,MEDIUM
8.0,102.5,MEDIUM
9.0,102.667,MEDIUM
10.0,102.391,MEDIUM
11.0,102.426,MEDIUM
12.0,102.113,MEDIUM
13.0,103.071,MEDIUM
14.0,102.792,MEDIUM
15.0,102.557,MEDIUM
16.0,102.725,MEDIUM
17.0,102.594,MEDIUM
18.0,121.475,HARD
19.0,101.366,HARD
20.0,101.471,HARD
21.0,101.192,HARD
22.0,101.262,HARD
23.0,101.388,HARD
24.0,100.97,HARD
25.0,102.405,HARD
26.0,102.115,HARD
27.0,101.83,HARD
28.0,103.15,HARD
29.0,102.008,HARD
30.0,101.493,HARD
31.0,101.56,HARD
32.0,102.211,HARD
33.0,102.812,HARD
34.0,102.13,HARD
35.0,120.773,HARD
36.0,101.438,HARD
37.0,100.684,HARD
38.0,100.025,HARD
39.0,99.985,HARD
40.0,100.437,HARD
41.0,100.733,HARD
42.0,100.635,HARD
43.0,100.471,HARD
44.0,100.714,HARD
45.0,100.616,HARD
46.0,101.107,HARD
47.0,101.166,HARD
48.0,101.222,HARD
49.0,102.748,HARD
50.0,101.175,HARD
51.0,100.838,HARD
52.0,101.004,HARD
53.0,100.682,HARD
54.0,100.904,HARD
55.0,100.884,HARD
56.0,101.084,HARD
1.0,104.398,MEDIUM
2.0,102.659,MEDIUM
3.0,102.583,MEDIUM
4.0,103.432,MEDIUM
5.0,103.744,MEDIUM
6.0,102.882,MEDIUM
7.0,102.95,MEDIUM
8.0,102.609,MEDIUM
9.0,102.896,MEDIUM
10.0,102.91,MEDIUM
11.0,103.597,MEDIUM
12.0,102.88,MEDIUM
13.0,103.454,MEDIUM
14.0,103.065,MEDIUM
15.0,103.652,MEDIUM
16.0,103.033,MEDIUM
17.0,103.418,MEDIUM
18.0,121.5,MEDIUM
19.0,101.869,MEDIUM
20.0,100.667,MEDIUM
21.0,101.197,MEDIUM
22.0,101.647,MEDIUM
23.0,101.683,MEDIUM
24.0,101.539,MEDIUM
25.0,101.49,MEDIUM
26.0,101.825,MEDIUM
27.0,101.479,MEDIUM
28.0,101.735,MEDIUM
29.0,101.462,MEDIUM
30.0,101.484,MEDIUM
31.0,101.584,MEDIUM
32.0,101.55,MEDIUM
33.0,101.888,MEDIUM
34.0,101.677,MEDIUM
35.0,102.067,MEDIUM
36.0,120.188,HARD
37.0,100.575,HARD
38.0,100.294,HARD
39.0,100.839,HARD
